phi0,phi1,Wersja ADF,Średnia p-value,Mediana p-value,Odch. std. p-value,Odsetek odrzuceń H0 (%)
0.0,-0.9,n,0.0000,0.0000,0.0000,100.00
0.0,-0.9,c,0.0000,0.0000,0.0000,100.00
0.0,-0.9,ct,0.0000,0.0000,0.0000,100.00
0.0,-0.5,n,0.0000,0.0000,0.0000,100.00
0.0,-0.5,c,0.0000,0.0000,0.0000,100.00
0.0,-0.5,ct,0.0000,0.0000,0.0001,100.00
0.0,-0.1,n,0.0000,0.0000,0.0000,100.00
0.0,-0.1,c,0.0000,0.0000,0.0000,100.00
0.0,-0.1,ct,0.0000,0.0000,0.0000,100.00
0.0,0.0,n,0.0000,0.0000,0.0000,100.00
0.0,0.0,c,0.0000,0.0000,0.0000,100.00
0.0,0.0,ct,0.0000,0.0000,0.0001,100.00
0.0,0.1,n,0.0000,0.0000,0.0000,100.00
0.0,0.1,c,0.0000,0.0000,0.0000,100.00
0.0,0.1,ct,0.0000,0.0000,0.0001,100.00
0.0,0.5,n,0.0000,0.0000,0.0000,100.00
0.0,0.5,c,0.0000,0.0000,0.0000,100.00
0.0,0.5,ct,0.0000,0.0000,0.0001,100.00
0.0,0.9,n,0.0000,0.0000,0.0002,100.00
0.0,0.9,c,0.0003,0.0000,0.0021,100.00
0.0,0.9,ct,0.0013,0.0000,0.0083,99.50
1.0,-0.9,n,0.2087,0.2031,0.0893,1.90
1.0,-0.9,c,0.0000,0.0000,0.0000,100.00
1.0,-0.9,ct,0.0000,0.0000,0.0000,100.00
1.0,-0.5,n,0.2067,0.2000,0.0914,3.20
1.0,-0.5,c,0.0000,0.0000,0.0000,100.00
1.0,-0.5,ct,0.0000,0.0000,0.0001,100.00
1.0,-0.1,n,0.2190,0.2172,0.0957,3.00
1.0,-0.1,c,0.0000,0.0000,0.0000,100.00
1.0,-0.1,ct,0.0000,0.0000,0.0000,100.00
1.0,0.0,n,0.2171,0.2135,0.0988,1.90
1.0,0.0,c,0.0000,0.0000,0.0000,100.00
1.0,0.0,ct,0.0000,0.0000,0.0001,100.00
1.0,0.1,n,0.2173,0.2113,0.0975,3.10
1.0,0.1,c,0.0000,0.0000,0.0000,100.00
1.0,0.1,ct,0.0000,0.0000,0.0001,100.00
1.0,0.5,n,0.2457,0.2394,0.1035,1.70
1.0,0.5,c,0.0000,0.0000,0.0001,100.00
1.0,0.5,ct,0.0000,0.0000,0.0004,100.00
1.0,0.9,n,0.3431,0.3304,0.1098,0.00
1.0,0.9,c,0.0006,0.0000,0.0060,99.70
1.0,0.9,ct,0.0017,0.0001,0.0140,99.40
5.0,-0.9,n,0.5928,0.5954,0.0600,0.00
5.0,-0.9,c,0.0000,0.0000,0.0000,100.00
5.0,-0.9,ct,0.0000,0.0000,0.0000,100.00
5.0,-0.5,n,0.5919,0.5929,0.0603,0.00
5.0,-0.5,c,0.0000,0.0000,0.0000,100.00
5.0,-0.5,ct,0.0000,0.0000,0.0000,100.00
5.0,-0.1,n,0.5930,0.5923,0.0597,0.00
5.0,-0.1,c,0.0000,0.0000,0.0000,100.00
5.0,-0.1,ct,0.0000,0.0000,0.0001,100.00
5.0,0.0,n,0.5940,0.5974,0.0616,0.00
5.0,0.0,c,0.0000,0.0000,0.0001,100.00
5.0,0.0,ct,0.0000,0.0000,0.0007,100.00
5.0,0.1,n,0.5949,0.5963,0.0637,0.00
5.0,0.1,c,0.0000,0.0000,0.0000,100.00
5.0,0.1,ct,0.0000,0.0000,0.0000,100.00
5.0,0.5,n,0.6008,0.6020,0.0639,0.00
5.0,0.5,c,0.0000,0.0000,0.0001,100.00
5.0,0.5,ct,0.0000,0.0000,0.0005,100.00
5.0,0.9,n,0.6216,0.6236,0.0701,0.00
5.0,0.9,c,0.0006,0.0000,0.0075,99.80
5.0,0.9,ct,0.0020,0.0001,0.0192,99.30
10.0,-0.9,n,0.6370,0.6371,0.0549,0.00
10.0,-0.9,c,0.0000,0.0000,0.0000,100.00
10.0,-0.9,ct,0.0000,0.0000,0.0002,100.00
10.0,-0.5,n,0.6331,0.6345,0.0573,0.00
10.0,-0.5,c,0.0000,0.0000,0.0000,100.00
10.0,-0.5,ct,0.0000,0.0000,0.0000,100.00
10.0,-0.1,n,0.6350,0.6377,0.0581,0.00
10.0,-0.1,c,0.0000,0.0000,0.0000,100.00
10.0,-0.1,ct,0.0000,0.0000,0.0000,100.00
10.0,0.0,n,0.6384,0.6410,0.0567,0.00
10.0,0.0,c,0.0000,0.0000,0.0001,100.00
10.0,0.0,ct,0.0000,0.0000,0.0001,100.00
10.0,0.1,n,0.6350,0.6372,0.0553,0.00
10.0,0.1,c,0.0000,0.0000,0.0000,100.00
10.0,0.1,ct,0.0000,0.0000,0.0001,100.00
10.0,0.5,n,0.6418,0.6424,0.0559,0.00
10.0,0.5,c,0.0000,0.0000,0.0000,100.00
10.0,0.5,ct,0.0000,0.0000,0.0000,100.00
10.0,0.9,n,0.6515,0.6539,0.0642,0.00
10.0,0.9,c,0.0003,0.0000,0.0039,99.90
10.0,0.9,ct,0.0013,0.0000,0.0112,99.70
